sys_energy,sys_energy_ap,avg_acc_err
-3.57769e+09,-3.57769e+09,nan
-3.5765e+09,-3.57652e+09,0.0082928
-3.59735e+09,-3.59724e+09,0.0083233
-3.64106e+09,-3.6407e+09,0.00838582
-3.71229e+09,-3.71147e+09,0.00866548
-3.81947e+09,-3.81778e+09,0.00857154
-3.97744e+09,-3.97414e+09,0.00877223
-4.21379e+09,-4.20697e+09,0.00891277
-4.58175e+09,-4.56807e+09,0.00907689
-5.2018e+09,-5.17556e+09,0.00833568
-6.44463e+09,-6.37671e+09,0.00962226
-1.04674e+10,-1.0099e+10,0.0172042
-2.84049e+10,-2.97882e+10,0.0816767
-1.72325e+10,-1.75452e+10,0.0729353
-1.38995e+10,-1.40482e+10,0.0697223
-1.19868e+10,-1.21139e+10,0.0656553
-1.07683e+10,-1.08515e+10,0.0590031
-9.93692e+09,-1.00274e+10,0.0593891
-9.28876e+09,-9.36883e+09,0.0602888
-8.83736e+09,-8.90753e+09,0.053801
-8.48907e+09,-8.53316e+09,0.0480688
-8.32847e+09,-8.36346e+09,0.0449584
-8.2432e+09,-8.26986e+09,0.0461544
-8.32214e+09,-8.31472e+09,0.0398409
-8.78109e+09,-8.72344e+09,0.0411724
-1.032e+10,-1.004e+10,0.0449659
-3.16926e+10,-4.76044e+10,0.0991967
-1.47403e+10,-1.53519e+10,0.0887549
-1.11494e+10,-1.13771e+10,0.0768437
-9.33501e+09,-9.49096e+09,0.0707071
-8.22743e+09,-8.35096e+09,0.069648
-7.42753e+09,-7.52474e+09,0.065643
-6.88627e+09,-6.94469e+09,0.0611356
-6.42728e+09,-6.48464e+09,0.0578441
-6.1137e+09,-6.15783e+09,0.0585833
-5.87866e+09,-5.90536e+09,0.0547727
-5.74266e+09,-5.75222e+09,0.0532833
-5.6547e+09,-5.66659e+09,0.0526976
-5.6705e+09,-5.66924e+09,0.0532336
-5.78661e+09,-5.75969e+09,0.0522251
-6.06075e+09,-6.0268e+09,0.0584117
-6.63052e+09,-6.51375e+09,0.0568428
-8.37284e+09,-7.89447e+09,0.0642029
-1.96505e+10,-2.62756e+10,0.114258
-1.25214e+10,-1.30592e+10,0.125472
-1.03687e+10,-1.06199e+10,0.116879
-9.1208e+09,-9.30498e+09,0.111636
-8.39641e+09,-8.53188e+09,0.111625
-7.79084e+09,-7.90967e+09,0.107654
-7.39786e+09,-7.49074e+09,0.108775
-7.03369e+09,-7.11009e+09,0.105742
-6.74887e+09,-6.81589e+09,0.0976186
-6.55149e+09,-6.60025e+09,0.0955358
-6.42804e+09,-6.46839e+09,0.0943818
-6.33738e+09,-6.35216e+09,0.0866899
-6.34548e+09,-6.3517e+09,0.0886554
-6.47831e+09,-6.44732e+09,0.0847557
-6.88501e+09,-6.76307e+09,0.0872308
-7.86345e+09,-7.55648e+09,0.0951594
-1.90391e+10,-1.14749e+10,0.122311
-1.31175e+10,-1.42937e+10,0.178178
-1.07552e+10,-1.11373e+10,0.166098
-9.55036e+09,-9.80412e+09,0.158145
-8.72968e+09,-8.88593e+09,0.146068
-8.18862e+09,-8.31801e+09,0.146436
-7.73188e+09,-7.85876e+09,0.139282
-7.34024e+09,-7.44733e+09,0.134082
-7.0925e+09,-7.16665e+09,0.128264
-6.87726e+09,-6.93478e+09,0.121685
-6.72299e+09,-6.77455e+09,0.121096
-6.64023e+09,-6.66255e+09,0.116924
-6.62197e+09,-6.60879e+09,0.110547
-6.74097e+09,-6.70627e+09,0.112557
-7.03532e+09,-6.94458e+09,0.116673
-7.71749e+09,-7.41642e+09,0.115421
-1.18721e+10,-9.28241e+09,0.134572
-1.31997e+10,-1.50229e+10,0.218585
-1.06107e+10,-1.12084e+10,0.202817
-9.53853e+09,-9.7924e+09,0.18151
-8.73456e+09,-8.99525e+09,0.177247
-8.17708e+09,-8.31471e+09,0.162077
-7.74854e+09,-7.90381e+09,0.158829
-7.41912e+09,-7.52409e+09,0.153548
