sys_energy,sys_energy_ap,avg_acc_err
-85.1157,-85.1157,nan
-82.3737,-82.375,0.00118175
-82.1885,-82.1916,0.00111904
-82.1146,-82.1184,0.00125354
-82.081,-82.085,0.00134765
-82.0642,-82.0681,0.00145181
-82.0545,-82.0584,0.00156332
-82.049,-82.0532,0.00170261
-82.0466,-82.0507,0.00181543
-82.0466,-82.0511,0.00196047
-82.0543,-82.059,0.00215274
-82.0822,-82.0875,0.00237024
-82.1822,-82.1863,0.00265872
-82.482,-82.4835,0.00311179
-82.9185,-82.9196,0.00345688
-82.9989,-83.002,0.0037359
-82.8307,-82.8341,0.00393168
-82.6497,-82.6526,0.00404445
-82.5083,-82.5102,0.00434811
-82.4023,-82.4028,0.00466583
-82.3236,-82.3225,0.00499293
-82.2649,-82.2625,0.00533215
-82.2207,-82.217,0.00569025
-82.1888,-82.1842,0.00605158
-82.1669,-82.1605,0.00642992
-82.1606,-82.154,0.00684788
-82.1965,-82.1895,0.0072582
-82.3323,-82.3238,0.0077099
-82.5297,-82.5206,0.00814503
-82.5984,-82.5913,0.00856201
-82.5688,-82.5616,0.00892195
-82.5198,-82.5138,0.0092321
-82.4692,-82.4641,0.00952576
-82.4206,-82.4163,0.00979924
-82.3792,-82.3759,0.00994596
-82.345,-82.3419,0.0102679
-82.3139,-82.3118,0.0105675
-82.288,-82.2856,0.0109124
-82.267,-82.2651,0.0113653
-82.2592,-82.2573,0.0118994
-82.2897,-82.2877,0.0125201
-82.3908,-82.389,0.0132529
-82.4951,-82.4938,0.0139697
-82.5151,-82.5135,0.0145122
-82.4887,-82.4868,0.015003
-82.4546,-82.4532,0.0154205
-82.4272,-82.4263,0.0158304
-82.4014,-82.4006,0.0162373
-82.3738,-82.3743,0.0167671
-82.3464,-82.3473,0.0169333
-82.3212,-82.3226,0.0171632
-82.3014,-82.3028,0.0175305
-82.2887,-82.2911,0.0182967
-82.2899,-82.292,0.0186981
-82.327,-82.3296,0.0192212
-82.4086,-82.4121,0.0199897
-82.4655,-82.4697,0.0207851
-82.4676,-82.4713,0.0214338
-82.4463,-82.4505,0.0219672
-82.4191,-82.4239,0.022382
-82.3943,-82.3986,0.0227169
-82.3767,-82.3818,0.0229874
-82.3626,-82.3685,0.0232306
-82.3472,-82.3542,0.0234721
-82.3311,-82.3389,0.0237252
-82.3163,-82.3254,0.0240756
-82.3065,-82.3161,0.0245191
-82.312,-82.3224,0.025111
-82.3545,-82.3655,0.025884
-82.416,-82.4278,0.0267516
-82.442,-82.4539,0.0276167
-82.4337,-82.4462,0.0283361
-82.4165,-82.4292,0.0289192
-82.3972,-82.4103,0.0294861
-82.3767,-82.3906,0.0300156
-82.3572,-82.3721,0.0305344
-82.3425,-82.3583,0.0310578
-82.3324,-82.3494,0.0316265
-82.3218,-82.34,0.0322417
-82.3121,-82.3307,0.0329303
-82.3098,-82.3295,0.0337144
-82.3276,-82.3488,0.0346357
-82.3718,-82.3948,0.0355864
-82.4082,-82.4322,0.0364949
-82.4113,-82.4361,0.0373236
-82.3993,-82.4235,0.0379821
-82.3852,-82.4109,0.0384243
-82.3739,-82.3996,0.0388135
-82.3593,-82.3855,0.0391936
-82.3439,-82.3714,0.0395693
-82.3297,-82.3568,0.0399986
-82.3189,-82.3469,0.0404955
-82.3134,-82.3428,0.0410989
-82.3126,-82.3427,0.041822
-82.3191,-82.3497,0.0427207
-82.345,-82.3766,0.0437477
-82.382,-82.4146,0.0447674
-82.3986,-82.4322,0.045664
-82.3945,-82.4277,0.0464034
-82.3819,-82.4142,0.0470077
-82.3657,-82.3988,0.0474846
-82.352,-82.3856,0.0478976
-82.3381,-82.3733,0.0482698
-82.3263,-82.3624,0.0486705
-82.3173,-82.3541,0.0491076
-82.3079,-82.3448,0.0495941
-82.301,-82.3385,0.0502035
-82.3023,-82.3417,0.0509635
-82.3204,-82.3606,0.0518344
-82.352,-82.3937,0.0528052
-82.3784,-82.4208,0.0537515
-82.3838,-82.4264,0.0545481
-82.3769,-82.4192,0.0551871
-82.3656,-82.4081,0.0556986
-82.3538,-82.3964,0.0561448
-82.3459,-82.3888,0.0564814
-82.3374,-82.3799,0.0568502
-82.3241,-82.3672,0.0572017
-82.311,-82.3562,0.057616
-82.3011,-82.3475,0.0581613
-82.2962,-82.343,0.0588392
-82.3019,-82.3498,0.0596827
-82.3237,-82.3729,0.0606203
-82.3506,-82.4022,0.0615814
-82.3656,-82.4178,0.0624771
-82.3615,-82.4143,0.0631846
-82.3516,-82.4041,0.0637582
-82.3423,-82.395,0.0641975
-82.3321,-82.3848,0.0645863
-82.3237,-82.3784,0.0649842
-82.3188,-82.3742,0.0653894
