sys_energy,sys_energy_ap,avg_acc_err
-2.018e+08,-2.018e+08,nan
-2.01797e+08,-2.01797e+08,0.000402854
-2.01797e+08,-2.01797e+08,0.000403558
-2.01797e+08,-2.01797e+08,0.000400659
-2.01797e+08,-2.01797e+08,0.000395598
-2.01797e+08,-2.01797e+08,0.000393735
-2.01797e+08,-2.01797e+08,0.000400073
-2.01797e+08,-2.01797e+08,0.000403483
-2.01797e+08,-2.01797e+08,0.000399589
-2.01797e+08,-2.01798e+08,0.000399338
-2.01797e+08,-2.01798e+08,0.000397607
-2.01797e+08,-2.01798e+08,0.00040262
-2.01797e+08,-2.01797e+08,0.000402383
-2.01797e+08,-2.01797e+08,0.000399466
-2.01797e+08,-2.01797e+08,0.000397163
-2.01797e+08,-2.01797e+08,0.000395194
-2.01796e+08,-2.01797e+08,0.000403667
-2.01797e+08,-2.01798e+08,0.000397348
-2.01797e+08,-2.01798e+08,0.000405816
-2.01796e+08,-2.01798e+08,0.00041735
-2.01796e+08,-2.01797e+08,0.0004154
-2.01796e+08,-2.01797e+08,0.000420149
-2.01796e+08,-2.01797e+08,0.000425932
-2.01795e+08,-2.01797e+08,0.000434604
-2.01795e+08,-2.01797e+08,0.000442081
-2.01795e+08,-2.01797e+08,0.000443916
-2.01795e+08,-2.01797e+08,0.000461509
-2.01794e+08,-2.01797e+08,0.000466964
-2.01794e+08,-2.01797e+08,0.000460679
-2.01794e+08,-2.01797e+08,0.000458708
-2.01794e+08,-2.01797e+08,0.000460045
-2.01793e+08,-2.01797e+08,0.000474063
-2.01793e+08,-2.01797e+08,0.000482009
-2.01793e+08,-2.01798e+08,0.000486026
-2.01793e+08,-2.01797e+08,0.000488267
-2.01792e+08,-2.01797e+08,0.000496479
-2.01791e+08,-2.01797e+08,0.000501424
-2.01791e+08,-2.01797e+08,0.000493032
-2.01791e+08,-2.01797e+08,0.000505295
-2.0179e+08,-2.01797e+08,0.000513703
-2.0179e+08,-2.01797e+08,0.000510195
-2.0179e+08,-2.01797e+08,0.000510785
-2.01789e+08,-2.01797e+08,0.000502915
-2.01789e+08,-2.01797e+08,0.000527031
-2.01788e+08,-2.01797e+08,0.000522989
-2.01788e+08,-2.01797e+08,0.000562888
-2.01787e+08,-2.01796e+08,0.000521577
-2.01787e+08,-2.01797e+08,0.000533014
-2.01786e+08,-2.01796e+08,0.000558154
-2.01786e+08,-2.01797e+08,0.000587892
-2.01786e+08,-2.01797e+08,0.000584152
-2.01785e+08,-2.01796e+08,0.000594136
-2.01784e+08,-2.01796e+08,0.000601738
-2.01783e+08,-2.01795e+08,0.000641982
-2.01784e+08,-2.01796e+08,0.000669848
-2.01782e+08,-2.01795e+08,0.000675267
-2.01781e+08,-2.01795e+08,0.000742096
-2.01781e+08,-2.01795e+08,0.000755422
-2.0178e+08,-2.01795e+08,0.000766725
-2.0178e+08,-2.01795e+08,0.000782266
-2.01779e+08,-2.01794e+08,0.000810728
