sys_energy,sys_energy_ap,avg_acc_err
-2.018e+08,-2.018e+08,nan
-2.01797e+08,-2.01797e+08,0.000402903
-2.01797e+08,-2.01797e+08,0.000403652
-2.01797e+08,-2.01797e+08,0.0004008
-2.01797e+08,-2.01797e+08,0.000395822
-2.01797e+08,-2.01797e+08,0.000393869
-2.01797e+08,-2.01797e+08,0.000400494
-2.01797e+08,-2.01797e+08,0.000404375
-2.01797e+08,-2.01798e+08,0.000400638
-2.01797e+08,-2.01798e+08,0.000400536
-2.01797e+08,-2.01798e+08,0.00039959
-2.01797e+08,-2.01798e+08,0.000405348
-2.01797e+08,-2.01797e+08,0.000404503
-2.01797e+08,-2.01797e+08,0.000402398
-2.01797e+08,-2.01797e+08,0.000401525
-2.01797e+08,-2.01797e+08,0.000398886
-2.01796e+08,-2.01797e+08,0.000409471
-2.01797e+08,-2.01798e+08,0.0004037
-2.01797e+08,-2.01798e+08,0.000414052
-2.01796e+08,-2.01798e+08,0.000423946
-2.01796e+08,-2.01797e+08,0.000423434
-2.01796e+08,-2.01797e+08,0.000426502
-2.01796e+08,-2.01797e+08,0.000435591
-2.01795e+08,-2.01797e+08,0.000442887
-2.01795e+08,-2.01797e+08,0.000451654
-2.01795e+08,-2.01797e+08,0.000455348
-2.01795e+08,-2.01797e+08,0.000471019
-2.01794e+08,-2.01797e+08,0.000478009
-2.01794e+08,-2.01797e+08,0.000471824
-2.01794e+08,-2.01797e+08,0.000477986
-2.01794e+08,-2.01797e+08,0.000485655
-2.01793e+08,-2.01797e+08,0.000493425
-2.01793e+08,-2.01797e+08,0.000505833
-2.01793e+08,-2.01798e+08,0.000512609
-2.01793e+08,-2.01797e+08,0.000512739
-2.01792e+08,-2.01797e+08,0.000518133
-2.01791e+08,-2.01797e+08,0.000519388
-2.01791e+08,-2.01797e+08,0.000515027
-2.01791e+08,-2.01797e+08,0.000528879
-2.0179e+08,-2.01797e+08,0.000549408
-2.0179e+08,-2.01797e+08,0.000538649
-2.0179e+08,-2.01797e+08,0.000544874
-2.0179e+08,-2.01797e+08,0.000531672
-2.01789e+08,-2.01797e+08,0.00056253
-2.01788e+08,-2.01797e+08,0.00056258
-2.01788e+08,-2.01797e+08,0.000599426
-2.01787e+08,-2.01796e+08,0.000560201
-2.01787e+08,-2.01797e+08,0.000574776
-2.01787e+08,-2.01796e+08,0.000602512
-2.01786e+08,-2.01797e+08,0.000645695
-2.01786e+08,-2.01797e+08,0.000638163
-2.01785e+08,-2.01796e+08,0.000645216
-2.01784e+08,-2.01796e+08,0.00064861
-2.01783e+08,-2.01795e+08,0.000694463
-2.01784e+08,-2.01796e+08,0.000718446
-2.01782e+08,-2.01795e+08,0.000730413
-2.01781e+08,-2.01795e+08,0.000799685
-2.01781e+08,-2.01795e+08,0.000806775
-2.0178e+08,-2.01795e+08,0.000821677
-2.0178e+08,-2.01795e+08,0.00083937
-2.01779e+08,-2.01794e+08,0.000856877
-2.01777e+08,-2.01794e+08,0.000872881
-2.01777e+08,-2.01793e+08,0.000939094
-2.01776e+08,-2.01793e+08,0.000930661
-2.01775e+08,-2.01793e+08,0.000966114
-2.01774e+08,-2.01793e+08,0.00102674
-2.01773e+08,-2.01792e+08,0.00107821
-2.01772e+08,-2.01791e+08,0.00106593
-2.01771e+08,-2.01791e+08,0.00108842
-2.0177e+08,-2.0179e+08,0.00113842
-2.01769e+08,-2.0179e+08,0.00123577
-2.01768e+08,-2.0179e+08,0.00131545
-2.01767e+08,-2.01788e+08,0.00129044
-2.01765e+08,-2.01787e+08,0.00138481
-2.01764e+08,-2.01787e+08,0.0014497
-2.01763e+08,-2.01786e+08,0.00147338
-2.01761e+08,-2.01784e+08,0.0015511
-2.0176e+08,-2.01783e+08,0.00170843
-2.01758e+08,-2.01781e+08,0.00168831
-2.01756e+08,-2.0178e+08,0.00177695
-2.01755e+08,-2.01779e+08,0.0018977
-2.01753e+08,-2.01777e+08,0.00200978
-2.01749e+08,-2.01774e+08,0.00214721
-2.01746e+08,-2.01771e+08,0.00224542
-2.01742e+08,-2.01768e+08,0.00235791
-2.01736e+08,-2.01763e+08,0.00243311
-2.01731e+08,-2.0176e+08,0.0025764
-2.01723e+08,-2.01754e+08,0.00263329
-2.01715e+08,-2.01747e+08,0.00276553
-2.01708e+08,-2.01742e+08,0.00287845
-2.01696e+08,-2.01733e+08,0.00301161
-2.01681e+08,-2.01721e+08,0.00308067
-2.01667e+08,-2.0171e+08,0.00323593
-2.01644e+08,-2.01691e+08,0.00328542
-2.01622e+08,-2.01673e+08,0.00348957
-2.01592e+08,-2.01648e+08,0.00363126
-2.01558e+08,-2.01617e+08,0.003828
-2.0151e+08,-2.01574e+08,0.00391053
-2.01462e+08,-2.0153e+08,0.00419653
-2.01393e+08,-2.01465e+08,0.00439934
-2.01324e+08,-2.014e+08,0.00486233
-2.01204e+08,-2.01285e+08,0.00507181
-2.01058e+08,-2.01142e+08,0.00545186
-2.00803e+08,-2.00896e+08,0.00574123
-2.00362e+08,-2.00464e+08,0.00630409
-1.99546e+08,-1.99669e+08,0.00694866
-1.98189e+08,-1.98327e+08,0.00795412
-1.95478e+08,-1.95661e+08,0.00919073
-1.89522e+08,-1.89798e+08,0.0119332
-1.75327e+08,-1.75786e+08,0.0165686
-1.86563e+08,-1.83562e+08,0.0235894
-2.9893e+08,-3.10042e+08,0.02999
-8.49226e+07,-8.50547e+07,0.0264987
-6.69691e+07,-6.57011e+07,0.0258227
-5.56381e+07,-5.45903e+07,0.0280018
-5.71268e+07,-5.59723e+07,0.0317686
-5.9687e+07,-5.85948e+07,0.0382077
-6.10245e+07,-6.00108e+07,0.0439794
-6.19521e+07,-6.08887e+07,0.0508094
-6.24473e+07,-6.1487e+07,0.0581763
-6.30993e+07,-6.237e+07,0.0668616
-6.42439e+07,-6.32874e+07,0.0752647
-6.4643e+07,-6.43166e+07,0.0838011
-6.58062e+07,-6.52732e+07,0.0942353
-6.68163e+07,-6.60812e+07,0.103485
-6.70904e+07,-6.68288e+07,0.113917
-6.74519e+07,-6.68898e+07,0.124488
-6.71867e+07,-6.64963e+07,0.134814
-6.68961e+07,-6.57699e+07,0.146858
-6.52893e+07,-6.42724e+07,0.153537
-6.37736e+07,-6.3118e+07,0.162374
-6.35454e+07,-6.24584e+07,0.173768
-6.3514e+07,-6.26882e+07,0.188174
-6.31306e+07,-6.19698e+07,0.199857
-6.30726e+07,-6.05914e+07,0.214832
-6.29394e+07,-6.03059e+07,0.229146
-6.30939e+07,-6.03193e+07,0.24007
-6.38316e+07,-6.11031e+07,0.257173
-6.34744e+07,-6.02076e+07,0.270867
-6.2887e+07,-6.04481e+07,0.283286
-6.24963e+07,-5.96248e+07,0.298285
-6.24559e+07,-5.89802e+07,0.314937
-6.22169e+07,-5.86254e+07,0.324877
-6.08535e+07,-5.86194e+07,0.336507
-6.0547e+07,-5.75316e+07,0.343834
-5.95131e+07,-5.65772e+07,0.360902
-5.8977e+07,-5.57951e+07,0.380591
-5.8629e+07,-5.54042e+07,0.401491
-5.91091e+07,-5.55725e+07,0.422624
-5.81072e+07,-5.52654e+07,0.441704
-5.77597e+07,-5.49519e+07,0.459681
-5.81207e+07,-5.47377e+07,0.474783
-5.70685e+07,-5.4637e+07,0.493665
-5.73045e+07,-5.44144e+07,0.518192
-5.74365e+07,-5.35144e+07,0.541298
-5.75495e+07,-5.41448e+07,0.549643
-5.6823e+07,-5.35629e+07,0.558418
-5.68288e+07,-5.31732e+07,0.569695
-5.57982e+07,-5.23849e+07,0.579406
-5.57173e+07,-5.17817e+07,0.599396
-5.55538e+07,-5.13774e+07,0.610058
-5.52844e+07,-5.11229e+07,0.625895
-5.45491e+07,-5.03997e+07,0.640826
-5.33982e+07,-5.0048e+07,0.643471
-5.33917e+07,-4.93543e+07,0.668644
-5.30943e+07,-4.91389e+07,0.698084
-5.28935e+07,-4.89308e+07,0.713142
-5.26236e+07,-4.90031e+07,0.717055
-5.22621e+07,-4.97943e+07,0.727314
-5.1732e+07,-4.8596e+07,0.74828
-5.12078e+07,-4.85303e+07,0.760319
-5.09562e+07,-4.82925e+07,0.774505
-5.02976e+07,-4.79456e+07,0.785009
-4.96175e+07,-4.78554e+07,0.791461
-4.92684e+07,-4.82116e+07,0.801026
-4.92073e+07,-4.72894e+07,0.823586
-4.91374e+07,-4.71824e+07,0.843612
-4.88485e+07,-4.68051e+07,0.859658
-4.83294e+07,-4.64596e+07,0.871283
-4.82708e+07,-4.55952e+07,0.893871
-4.83235e+07,-4.55657e+07,0.912808
-4.82859e+07,-4.56642e+07,0.929384
-4.77069e+07,-4.55732e+07,0.936378
-4.737e+07,-4.57352e+07,0.942962
-4.68639e+07,-4.49158e+07,0.953753
-4.70242e+07,-4.49521e+07,0.957955
-4.72265e+07,-4.40248e+07,0.968726
-4.60164e+07,-4.35359e+07,0.972969
-4.58663e+07,-4.32345e+07,0.969657
-4.48869e+07,-4.29825e+07,0.971253
-4.41057e+07,-4.23878e+07,0.959316
-4.36227e+07,-4.23228e+07,0.959594
-4.34779e+07,-4.14897e+07,0.958331
-4.30847e+07,-4.14481e+07,0.960065
-4.22149e+07,-4.04692e+07,0.956643
-4.19708e+07,-4.07696e+07,0.966702
-4.16723e+07,-4.06444e+07,0.985308
-4.16812e+07,-4.02288e+07,0.994894
-4.17471e+07,-4.01153e+07,1.00675
-4.13898e+07,-3.9978e+07,1.01477
-4.07566e+07,-4.00263e+07,1.016
-4.06078e+07,-3.96237e+07,1.0278
-4.05421e+07,-3.88636e+07,1.04344
-4.05094e+07,-3.89158e+07,1.04612
-4.01618e+07,-3.83681e+07,1.04919
-3.98979e+07,-3.81102e+07,1.05428
-4.01633e+07,-3.77293e+07,1.05637
-3.97544e+07,-3.72241e+07,1.06172
-3.9289e+07,-3.70989e+07,1.06034
-3.87096e+07,-3.66852e+07,1.06969
-3.90894e+07,-3.71569e+07,1.07464
-3.86769e+07,-3.63547e+07,1.07014
-3.82533e+07,-3.62662e+07,1.07042
-3.84336e+07,-3.68454e+07,1.07275
-3.84232e+07,-3.65095e+07,1.08741
-3.79557e+07,-3.59579e+07,1.10226
-3.75656e+07,-3.56838e+07,1.10548
-3.76412e+07,-3.55139e+07,1.11017
-3.78695e+07,-3.55219e+07,1.11453
-3.78288e+07,-3.55919e+07,1.11235
-3.72419e+07,-3.42074e+07,1.11337
-3.74698e+07,-3.37157e+07,1.13224
-3.70816e+07,-3.31203e+07,1.13491
-3.63416e+07,-3.29533e+07,1.13205
-3.57763e+07,-3.30462e+07,1.12771
-3.57446e+07,-3.28957e+07,1.12637
-3.5911e+07,-3.27727e+07,1.12695
-3.58689e+07,-3.21836e+07,1.13222
-3.53695e+07,-3.19315e+07,1.1408
-3.5323e+07,-3.20832e+07,1.15177
-3.56451e+07,-3.23894e+07,1.15368
-3.55816e+07,-3.17236e+07,1.17601
-3.57523e+07,-3.12691e+07,1.19091
-3.52718e+07,-3.11209e+07,1.17561
-3.41309e+07,-2.9657e+07,1.18137
-3.43289e+07,-2.9865e+07,1.17557
-3.4362e+07,-2.93631e+07,1.18641
-3.36474e+07,-2.91556e+07,1.19627
-3.36668e+07,-2.89856e+07,1.21345
-3.34984e+07,-2.90738e+07,1.23228
-3.3072e+07,-2.87225e+07,1.23391
-3.35534e+07,-2.82533e+07,1.23093
-3.29915e+07,-2.77579e+07,1.23372
-3.24924e+07,-2.78261e+07,1.22075
-3.25257e+07,-2.76391e+07,1.23377
-3.29554e+07,-2.69351e+07,1.23418
-3.23538e+07,-2.67799e+07,1.22995
-3.18805e+07,-2.66594e+07,1.23108
-3.15463e+07,-2.68278e+07,1.21354
-3.15896e+07,-2.6162e+07,1.21622
-3.13623e+07,-2.56762e+07,1.23354
-3.15102e+07,-2.56125e+07,1.24368
-3.09828e+07,-2.48823e+07,1.24624
-3.09483e+07,-2.47446e+07,1.24617
-3.13009e+07,-2.50244e+07,1.24215
-3.09822e+07,-2.49156e+07,1.24259
-3.04097e+07,-2.38923e+07,1.24689
-3.01702e+07,-2.39628e+07,1.24964
-2.96914e+07,-2.45762e+07,1.25178
-2.94722e+07,-2.38108e+07,1.2472
-2.96419e+07,-2.36179e+07,1.26075
-2.97882e+07,-2.41087e+07,1.27112
-2.95917e+07,-2.34053e+07,1.28083
-2.90756e+07,-2.26432e+07,1.27327
-2.82785e+07,-2.2382e+07,1.26267
-2.79916e+07,-2.19235e+07,1.2702
-2.7874e+07,-2.17173e+07,1.27521
