sys_energy,sys_energy_ap,avg_acc_err
-85.1157,-85.1157,nan
-82.3744,-82.375,0.000524355
-82.19,-82.1916,0.000504133
-82.1162,-82.1184,0.000532684
-82.0823,-82.085,0.000569644
-82.0651,-82.0681,0.000625126
-82.0552,-82.0584,0.000689685
-82.0496,-82.0532,0.000748807
-82.0471,-82.0507,0.000836788
-82.0476,-82.0511,0.000936383
-82.0554,-82.059,0.00102976
-82.0838,-82.0876,0.00115773
-82.1831,-82.1863,0.0013119
-82.4805,-82.4834,0.00149476
-82.918,-82.9196,0.00169303
-83.0007,-83.002,0.00188126
-82.833,-82.8341,0.00203753
-82.6521,-82.6526,0.00218337
-82.5096,-82.5103,0.0023449
-82.4031,-82.4027,0.00248813
-82.3231,-82.3224,0.00264225
-82.2636,-82.2625,0.00277082
-82.2188,-82.2169,0.00289369
-82.1859,-82.1841,0.00301062
-82.163,-82.1605,0.00313051
-82.1561,-82.154,0.00324204
-82.1913,-82.1895,0.0033757
-82.3261,-82.3238,0.00350119
-82.5231,-82.5206,0.00361404
-82.5936,-82.5912,0.0037059
-82.5641,-82.5615,0.00377682
-82.5158,-82.5138,0.00382884
-82.4661,-82.4641,0.0038952
-82.4178,-82.4163,0.0039831
-82.3768,-82.3758,0.00407565
-82.3431,-82.3417,0.00416855
-82.3134,-82.3118,0.00428829
-82.2874,-82.2856,0.00442085
-82.2664,-82.265,0.00457464
-82.259,-82.2573,0.00475004
-82.289,-82.2877,0.00494635
-82.3899,-82.389,0.0051687
-82.4947,-82.4938,0.00538217
-82.5156,-82.5136,0.00556944
-82.4888,-82.4868,0.0057475
-82.4548,-82.4532,0.00591075
-82.4276,-82.4263,0.00607571
-82.4022,-82.4005,0.00626969
-82.3748,-82.3743,0.00642725
-82.3481,-82.3473,0.00655259
-82.3231,-82.3225,0.0066925
-82.3034,-82.3028,0.00687349
-82.2907,-82.2912,0.00709366
-82.2921,-82.292,0.00729556
-82.3291,-82.3295,0.00753181
-82.4114,-82.4119,0.00778287
-82.4698,-82.4695,0.00801422
-82.4721,-82.4712,0.00820188
-82.4507,-82.4503,0.00833942
-82.424,-82.4239,0.00846031
-82.3994,-82.3985,0.00856332
-82.3823,-82.3817,0.00865286
-82.3694,-82.3685,0.00876305
-82.3542,-82.354,0.0088812
-82.3388,-82.3388,0.00901236
-82.3252,-82.3254,0.00918578
-82.3157,-82.316,0.00939296
-82.3215,-82.3223,0.0096416
-82.3643,-82.3653,0.00993917
-82.4267,-82.4276,0.0102506
-82.4534,-82.4538,0.0105518
-82.4459,-82.446,0.0108041
-82.4294,-82.429,0.011019
-82.4102,-82.4101,0.0112093
-82.3904,-82.3905,0.011364
-82.3718,-82.372,0.0115157
-82.3577,-82.3583,0.0116623
-82.3486,-82.3493,0.0118211
-82.3389,-82.3399,0.0119963
-82.3295,-82.3307,0.0121825
-82.3278,-82.3294,0.0123887
-82.3466,-82.3489,0.0126506
-82.3919,-82.3948,0.0129348
-82.4298,-82.4321,0.0132313
-82.434,-82.4358,0.0135119
-82.4215,-82.4235,0.0137503
-82.4087,-82.4107,0.013948
