sys_energy,sys_energy_ap,avg_acc_err
-inf,-inf,nan
-inf,-inf,0.00866027
-inf,-inf,0.00867396
-inf,-inf,0.00866804
-inf,-inf,0.00868382
-inf,-inf,0.00868664
-inf,-inf,0.00868334
-inf,-inf,0.00873696
-inf,-inf,0.00876409
-inf,-inf,0.00875206
-inf,-inf,0.00878964
-inf,-inf,0.00880542
-inf,-inf,0.0088713
-inf,-inf,0.0088476
-inf,-inf,0.00890331
-inf,-inf,0.00897553
-inf,-inf,0.00904941
-inf,-inf,0.00908846
-inf,-inf,0.00912414
-inf,-inf,0.00916417
-inf,-inf,0.00920115
-inf,-inf,0.00921442
-inf,-inf,0.00928617
-inf,-inf,0.00938036
-inf,-inf,0.00941712
-inf,-inf,0.00956979
-inf,-inf,0.00962809
-inf,-inf,0.0096521
-inf,-inf,0.00968157
-inf,-inf,0.00970219
-inf,-inf,0.009739
-inf,-inf,0.00976407
-inf,-inf,0.0098631
-inf,-inf,0.00982559
-inf,-inf,0.00979875
-inf,-inf,0.00983748
-inf,-inf,0.00976914
-inf,-inf,0.00976483
-inf,-inf,0.00969374
-inf,-inf,0.00961493
-inf,-inf,0.00945748
-inf,-inf,0.00933337
-inf,-inf,0.0091387
-inf,-inf,0.00894877
-inf,-inf,0.00866683
-inf,-inf,0.00835806
-inf,-inf,0.00820952
-inf,-inf,0.0079881
-inf,-inf,0.00789501
-inf,-inf,0.00784251
-inf,-inf,0.00801034
-inf,-inf,0.00838599
-inf,-inf,0.00899092
-inf,-inf,0.00994499
-inf,-inf,0.0112798
-inf,-inf,0.013097
-inf,-inf,0.0157691
-inf,-inf,0.0198424
-inf,-inf,0.0263933
-inf,-inf,0.038891
-inf,-inf,0.0686191
-inf,-inf,0.117172
-inf,-inf,0.141725
-inf,-inf,0.152253
-inf,-inf,0.151374
-inf,-inf,0.146655
-inf,-inf,0.14186
-inf,-inf,0.134269
-inf,-inf,0.12663
-inf,-inf,0.122765
-inf,-inf,0.115577
-inf,-inf,0.108436
-inf,-inf,0.104345
-inf,-inf,0.0971729
-inf,-inf,0.0905087
-inf,-inf,0.0852203
