sys_energy,sys_energy_ap,avg_acc_err
-1.34553e+08,-1.34553e+08,nan
-1.34553e+08,-1.34553e+08,4.63735e-07
-1.34553e+08,-1.34553e+08,4.59445e-07
-1.34553e+08,-1.34553e+08,4.70929e-07
-1.34553e+08,-1.34553e+08,4.6965e-07
-1.34553e+08,-1.34553e+08,4.63963e-07
-1.34554e+08,-1.34554e+08,4.63193e-07
-1.34554e+08,-1.34554e+08,4.43383e-07
-1.34555e+08,-1.34555e+08,4.50458e-07
-1.34555e+08,-1.34555e+08,4.51851e-07
-1.34556e+08,-1.34556e+08,4.74746e-07
-1.34557e+08,-1.34557e+08,4.7503e-07
-1.34558e+08,-1.34558e+08,4.73331e-07
-1.34559e+08,-1.34559e+08,4.68079e-07
-1.3456e+08,-1.3456e+08,4.71208e-07
-1.34561e+08,-1.34561e+08,4.76941e-07
-1.34562e+08,-1.34562e+08,5.27441e-07
-1.34563e+08,-1.34563e+08,5.38565e-07
-1.34564e+08,-1.34564e+08,5.3929e-07
-1.34566e+08,-1.34566e+08,5.35803e-07
-1.34567e+08,-1.34567e+08,5.3994e-07
-1.34569e+08,-1.34569e+08,5.4178e-07
-1.34571e+08,-1.34571e+08,5.75498e-07
-1.34572e+08,-1.34572e+08,5.73439e-07
-1.34574e+08,-1.34574e+08,5.72215e-07
-1.34576e+08,-1.34576e+08,5.87617e-07
-1.34578e+08,-1.34578e+08,5.85412e-07
-1.3458e+08,-1.3458e+08,5.9718e-07
-1.34583e+08,-1.34583e+08,6.43109e-07
-1.34585e+08,-1.34585e+08,6.69117e-07
-1.34587e+08,-1.34587e+08,6.59732e-07
-1.3459e+08,-1.3459e+08,6.54591e-07
-1.34592e+08,-1.34592e+08,6.57864e-07
-1.34595e+08,-1.34595e+08,6.49413e-07
-1.34598e+08,-1.34598e+08,6.59174e-07
-1.34601e+08,-1.34601e+08,6.54684e-07
-1.34604e+08,-1.34604e+08,6.7669e-07
-1.34607e+08,-1.34607e+08,6.77965e-07
-1.34611e+08,-1.34611e+08,6.8079e-07
-1.34614e+08,-1.34614e+08,6.77969e-07
-1.34618e+08,-1.34618e+08,6.69419e-07
-1.34621e+08,-1.34621e+08,6.6417e-07
-1.34625e+08,-1.34625e+08,6.89529e-07
-1.34629e+08,-1.34629e+08,6.91449e-07
-1.34633e+08,-1.34633e+08,6.8493e-07
-1.34638e+08,-1.34638e+08,7.14187e-07
-1.34642e+08,-1.34642e+08,2.17958e-06
-1.34647e+08,-1.34647e+08,2.18784e-06
-1.34651e+08,-1.34651e+08,6.68887e-07
-1.34656e+08,-1.34656e+08,1.79206e-06
-1.34661e+08,-1.34661e+08,1.7883e-06
-1.34667e+08,-1.34667e+08,3.09932e-06
-1.34672e+08,-1.34672e+08,3.06818e-06
-1.34678e+08,-1.34678e+08,2.10152e-06
-1.34684e+08,-1.34684e+08,2.1259e-06
-1.3469e+08,-1.3469e+08,1.98569e-06
-1.34696e+08,-1.34696e+08,3.73191e-06
-1.34702e+08,-1.34702e+08,3.69282e-06
-1.34709e+08,-1.34709e+08,4.87411e-06
-1.34716e+08,-1.34716e+08,5.30833e-06
-1.34724e+08,-1.34724e+08,5.25527e-06
-1.34731e+08,-1.34731e+08,5.3431e-06
-1.34739e+08,-1.34739e+08,4.30163e-06
-1.34747e+08,-1.34747e+08,4.08539e-06
-1.34756e+08,-1.34756e+08,4.46758e-06
-1.34764e+08,-1.34764e+08,5.52023e-06
-1.34774e+08,-1.34774e+08,6.21138e-06
-1.34783e+08,-1.34783e+08,6.15099e-06
-1.34793e+08,-1.34793e+08,6.94673e-06
-1.34803e+08,-1.34803e+08,7.38978e-06
-1.34814e+08,-1.34814e+08,6.75708e-06
-1.34825e+08,-1.34825e+08,6.73547e-06
-1.34837e+08,-1.34837e+08,8.02371e-06
-1.34849e+08,-1.34849e+08,8.93873e-06
-1.34862e+08,-1.34862e+08,8.37332e-06
-1.34876e+08,-1.34876e+08,8.4602e-06
-1.3489e+08,-1.3489e+08,7.9823e-06
-1.34905e+08,-1.34905e+08,8.82389e-06
-1.3492e+08,-1.3492e+08,8.67086e-06
-1.34937e+08,-1.34937e+08,9.11668e-06
-1.34955e+08,-1.34955e+08,1.03411e-05
-1.34973e+08,-1.34973e+08,1.06958e-05
-1.34993e+08,-1.34993e+08,1.22609e-05
-1.35015e+08,-1.35015e+08,1.21872e-05
-1.35038e+08,-1.35038e+08,1.22226e-05
-1.35063e+08,-1.35063e+08,1.25949e-05
-1.35091e+08,-1.35091e+08,1.30331e-05
-1.35122e+08,-1.35122e+08,1.282e-05
-1.35159e+08,-1.35159e+08,1.36514e-05
-1.35228e+08,-1.35228e+08,1.34888e-05
-1.35239e+08,-1.35239e+08,1.38633e-05
-1.35274e+08,-1.35274e+08,1.49392e-05
-1.35315e+08,-1.35315e+08,1.49661e-05
-1.35361e+08,-1.35361e+08,1.6851e-05
-1.35431e+08,-1.35431e+08,1.48362e-05
-1.35463e+08,-1.35463e+08,1.42773e-05
-1.35479e+08,-1.35479e+08,1.46067e-05
-1.35506e+08,-1.35506e+08,1.63543e-05
-1.35541e+08,-1.35541e+08,1.72475e-05
-1.3558e+08,-1.3558e+08,1.63086e-05
-1.35625e+08,-1.35625e+08,1.85956e-05
-1.35679e+08,-1.35679e+08,1.90781e-05
-1.35743e+08,-1.35743e+08,2.01032e-05
-1.35796e+08,-1.35796e+08,1.84429e-05
-1.3585e+08,-1.3585e+08,1.8774e-05
-1.35917e+08,-1.35917e+08,2.10242e-05
-1.35988e+08,-1.35988e+08,2.16778e-05
-1.36041e+08,-1.36041e+08,2.29239e-05
-1.36088e+08,-1.36088e+08,2.12482e-05
-1.36145e+08,-1.36146e+08,1.95631e-05
-1.36168e+08,-1.36168e+08,1.96898e-05
-1.36213e+08,-1.36213e+08,1.83926e-05
-1.3626e+08,-1.36261e+08,2.08754e-05
-1.36319e+08,-1.36319e+08,2.08265e-05
-1.36377e+08,-1.36377e+08,1.98961e-05
-1.36432e+08,-1.36432e+08,1.79779e-05
-1.36493e+08,-1.36494e+08,1.69097e-05
-1.36511e+08,-1.36511e+08,1.80051e-05
-1.36556e+08,-1.36557e+08,1.72635e-05
-1.36607e+08,-1.36607e+08,1.56308e-05
-1.3666e+08,-1.36661e+08,1.44735e-05
-1.36712e+08,-1.36712e+08,1.47166e-05
-1.36762e+08,-1.36762e+08,1.55742e-05
-1.36813e+08,-1.36813e+08,1.61102e-05
-1.3687e+08,-1.36871e+08,1.50185e-05
-1.36929e+08,-1.36929e+08,1.69223e-05
-1.36991e+08,-1.36991e+08,1.72587e-05
-1.37037e+08,-1.37037e+08,1.72218e-05
-1.37072e+08,-1.37072e+08,1.75412e-05
-1.37121e+08,-1.37122e+08,1.99176e-05
-1.37164e+08,-1.37165e+08,1.92847e-05
-1.37215e+08,-1.37216e+08,1.68886e-05
-1.3727e+08,-1.37271e+08,1.73095e-05
-1.37324e+08,-1.37324e+08,1.59965e-05
-1.37379e+08,-1.3738e+08,1.65473e-05
-1.37437e+08,-1.37438e+08,1.55227e-05
-1.375e+08,-1.37501e+08,1.42144e-05
-1.37561e+08,-1.37562e+08,1.35101e-05
-1.37634e+08,-1.37634e+08,1.36988e-05
-1.37702e+08,-1.37703e+08,1.28574e-05
-1.37789e+08,-1.37789e+08,1.2e-05
-1.37857e+08,-1.37858e+08,1.20715e-05
-1.37932e+08,-1.37933e+08,1.05636e-05
-1.37993e+08,-1.37993e+08,2.11152e-05
-1.38053e+08,-1.38053e+08,2.32716e-05
-1.38126e+08,-1.38126e+08,2.56828e-05
-1.38213e+08,-1.38214e+08,2.47453e-05
-1.38308e+08,-1.38309e+08,2.35396e-05
-1.384e+08,-1.384e+08,2.46869e-05
-1.38496e+08,-1.38497e+08,2.43908e-05
-1.38586e+08,-1.38586e+08,2.17641e-05
-1.38686e+08,-1.38687e+08,2.79757e-05
-1.38799e+08,-1.38799e+08,2.5274e-05
-1.38914e+08,-1.38914e+08,3.36644e-05
-1.39044e+08,-1.39045e+08,3.84552e-05
-1.3917e+08,-1.39171e+08,3.45632e-05
-1.39307e+08,-1.39308e+08,3.59636e-05
-1.3945e+08,-1.39451e+08,4.4687e-05
-1.39605e+08,-1.39606e+08,4.30125e-05
-1.39783e+08,-1.39784e+08,4.1269e-05
-1.39947e+08,-1.39947e+08,4.00044e-05
-1.40128e+08,-1.40129e+08,4.27421e-05
-1.40321e+08,-1.40322e+08,3.78569e-05
-1.40554e+08,-1.40555e+08,3.61112e-05
-1.40787e+08,-1.40787e+08,3.50598e-05
-1.41024e+08,-1.41025e+08,3.42867e-05
-1.41277e+08,-1.41277e+08,3.96555e-05
-1.41538e+08,-1.41539e+08,4.02586e-05
-1.41809e+08,-1.4181e+08,4.35209e-05
-1.42109e+08,-1.4211e+08,4.49685e-05
-1.42429e+08,-1.4243e+08,6.13517e-05
-1.42782e+08,-1.42783e+08,6.19412e-05
-1.43157e+08,-1.43158e+08,6.12144e-05
-1.43593e+08,-1.43594e+08,6.04691e-05
-1.44013e+08,-1.44015e+08,5.49686e-05
-1.44504e+08,-1.44505e+08,6.32981e-05
-1.45032e+08,-1.45033e+08,6.20718e-05
-1.45632e+08,-1.45634e+08,7.85447e-05
-1.46281e+08,-1.46283e+08,8.30164e-05
-1.46978e+08,-1.46981e+08,7.30976e-05
-1.47784e+08,-1.47787e+08,6.97107e-05
-1.48666e+08,-1.48668e+08,6.07346e-05
-1.49698e+08,-1.49701e+08,5.88062e-05
-1.50865e+08,-1.50868e+08,5.96783e-05
-1.52175e+08,-1.52177e+08,6.86322e-05
-1.53706e+08,-1.53708e+08,7.71291e-05
-1.55431e+08,-1.55433e+08,8.30888e-05
-1.57436e+08,-1.57438e+08,7.48407e-05
-1.59692e+08,-1.59695e+08,6.35944e-05
-1.62314e+08,-1.62317e+08,6.78411e-05
-1.65324e+08,-1.65327e+08,7.1498e-05
-1.68712e+08,-1.68714e+08,6.64908e-05
-1.72645e+08,-1.72648e+08,7.54101e-05
-1.77411e+08,-1.77414e+08,7.73609e-05
-1.83399e+08,-1.83402e+08,7.71526e-05
-1.91089e+08,-1.91092e+08,9.11337e-05
