sys_energy,sys_energy_ap,avg_acc_err
-1.34553e+08,-1.34553e+08,nan
-1.34553e+08,-1.34553e+08,0.00253252
-1.34553e+08,-1.34553e+08,0.00253784
-1.34553e+08,-1.34553e+08,0.00253614
-1.34553e+08,-1.34553e+08,0.00253897
-1.34553e+08,-1.34553e+08,0.0025366
-1.34554e+08,-1.34554e+08,0.00254252
-1.34554e+08,-1.34554e+08,0.0025679
-1.34555e+08,-1.34555e+08,0.00252164
-1.34555e+08,-1.34555e+08,0.00251798
-1.34556e+08,-1.34556e+08,0.0024722
-1.34556e+08,-1.34557e+08,0.00248726
-1.34557e+08,-1.34558e+08,0.00249327
-1.34558e+08,-1.34559e+08,0.00252082
-1.34559e+08,-1.3456e+08,0.00250376
-1.3456e+08,-1.34561e+08,0.00250499
-1.34561e+08,-1.34562e+08,0.00243848
-1.34562e+08,-1.34563e+08,0.00236614
-1.34563e+08,-1.34564e+08,0.00235232
-1.34565e+08,-1.34566e+08,0.00235488
-1.34566e+08,-1.34567e+08,0.00233379
-1.34567e+08,-1.34569e+08,0.00229837
-1.34569e+08,-1.34571e+08,0.00226877
-1.34571e+08,-1.34572e+08,0.00227074
-1.34572e+08,-1.34574e+08,0.002296
-1.34574e+08,-1.34576e+08,0.00229199
-1.34576e+08,-1.34578e+08,0.00229318
-1.34578e+08,-1.3458e+08,0.00226293
-1.3458e+08,-1.34583e+08,0.00226687
-1.34582e+08,-1.34585e+08,0.00226787
-1.34584e+08,-1.34587e+08,0.00226777
-1.34587e+08,-1.3459e+08,0.00226849
-1.34589e+08,-1.34592e+08,0.00226305
-1.34592e+08,-1.34595e+08,0.0022168
-1.34594e+08,-1.34598e+08,0.00219927
-1.34597e+08,-1.34601e+08,0.00219816
-1.346e+08,-1.34604e+08,0.00209006
-1.34603e+08,-1.34607e+08,0.00198305
-1.34606e+08,-1.34611e+08,0.00196656
-1.34609e+08,-1.34614e+08,0.00196848
-1.34613e+08,-1.34618e+08,0.00196938
-1.34616e+08,-1.34621e+08,0.00200514
-1.3462e+08,-1.34625e+08,0.0019597
-1.34624e+08,-1.34629e+08,0.00189645
-1.34627e+08,-1.34633e+08,0.00192276
-1.34631e+08,-1.34638e+08,0.00197935
-1.34636e+08,-1.34642e+08,0.0019913
-1.3464e+08,-1.34647e+08,0.00195747
-1.34644e+08,-1.34651e+08,0.00192711
-1.34649e+08,-1.34656e+08,0.00188441
-1.34654e+08,-1.34661e+08,0.00188083
-1.34659e+08,-1.34667e+08,0.00195771
-1.34664e+08,-1.34672e+08,0.00193315
-1.3467e+08,-1.34678e+08,0.0019252
-1.34675e+08,-1.34684e+08,0.00191948
-1.34681e+08,-1.3469e+08,0.00192823
-1.34687e+08,-1.34696e+08,0.00196351
-1.34693e+08,-1.34702e+08,0.00193777
-1.347e+08,-1.34709e+08,0.00197891
-1.34706e+08,-1.34716e+08,0.00197256
-1.34713e+08,-1.34724e+08,0.00195502
-1.3472e+08,-1.34731e+08,0.00198977
