sys_energy,sys_energy_ap,avg_acc_err
-3.57769e+09,-3.57769e+09,nan
-3.57652e+09,-3.57652e+09,5.99765e-06
-3.59724e+09,-3.59724e+09,5.70939e-06
-3.6407e+09,-3.6407e+09,5.98244e-06
-3.71147e+09,-3.71147e+09,6.2581e-06
-3.81778e+09,-3.81778e+09,7.34863e-06
-3.97414e+09,-3.97414e+09,7.52559e-06
-4.20699e+09,-4.20697e+09,8.98953e-06
-4.5682e+09,-4.56807e+09,1.04986e-05
-5.17579e+09,-5.17556e+09,1.73895e-05
-6.37744e+09,-6.37679e+09,1.82397e-05
-1.01037e+10,-1.01003e+10,3.24923e-05
-2.97858e+10,-2.9788e+10,5.20786e-05
